anio,semana,dia,contaminante,max,avg
2016,10,5,ozono,49,28.6083333333333333
2015,10,5,ozono,121,31.2666666666666667
2015,10,6,ozono,112,26.7750000000000000
2014,10,4,ozono,107,34.5666666666666667
2014,10,2,ozono,74,28.3666666666666667
2016,10,2,ozono,39,24.8166666666666667
2013,10,0,ozono,79,30.4833333333333333
2014,10,6,pm10,80,53.6333333333333333
2016,10,3,pm10,83,37.1916666666666667
2016,10,5,pm10,44,25.9416666666666667
2015,10,1,pm10,105,85.1833333333333333
2016,10,1,pm10,102,68.0416666666666667
2013,10,4,pm10,94,76.4750000000000000
2015,10,6,pm10,117,97.9666666666666667
2015,10,4,pm10,119,97.7083333333333333
2014,10,2,pm10,78,56.2833333333333333
2013,10,6,pm10,100,76.2166666666666667
2016,10,6,pm10,93,44.6833333333333333
2014,10,0,pm10,63,36.8583333333333333
2013,10,2,pm10,128,86.9833333333333333
2015,10,3,pm10,114,102.8666666666666667
2013,10,0,pm10,89,58.8583333333333333
2013,10,5,pm10,96,73.6083333333333333
2013,10,1,pm10,105,63.5083333333333333
2015,10,2,pm10,107,96.7250000000000000
2014,10,5,pm10,83,61.2000000000000000
2016,10,0,pm10,106,73.4666666666666667
2014,10,1,pm10,78,53.0500000000000000
2013,10,3,pm10,122,96.0083333333333333
2015,10,5,pm10,118,99.2500000000000000
2014,10,3,pm10,87,47.7333333333333333
2015,10,0,pm10,105,76.8250000000000000
2016,10,2,pm10,101,63.5500000000000000
2014,10,4,pm10,82,52.5333333333333333
2016,10,4,pm10,39,18.1416666666666667
2015,11,2,dioxido_de_azufre,11,5.9000000000000000
2013,11,3,dioxido_de_azufre,31,19.2833333333333333
2016,11,4,dioxido_de_azufre,9,3.8583333333333333
2014,11,4,dioxido_de_azufre,13,2.6666666666666667
2014,11,5,dioxido_de_azufre,14,5.3166666666666667
2016,11,0,dioxido_de_azufre,16,7.3833333333333333
2016,11,5,dioxido_de_azufre,11,4.6416666666666667
2013,11,0,dioxido_de_azufre,7,2.3250000000000000
2015,11,1,dioxido_de_azufre,11,4.4000000000000000
2014,11,2,dioxido_de_azufre,3,1.8166666666666667
2016,11,1,dioxido_de_azufre,5,3.3500000000000000
2016,11,3,dioxido_de_azufre,10,4.1750000000000000
2013,11,4,dioxido_de_azufre,28,16.3666666666666667
2013,11,5,dioxido_de_azufre,28,13.9750000000000000
2015,11,6,dioxido_de_azufre,3,1.6583333333333333
2016,11,2,dioxido_de_azufre,5,3.2833333333333333
2015,11,5,dioxido_de_azufre,2,1.5833333333333333
2014,11,3,dioxido_de_azufre,4,2.3750000000000000
2015,11,4,dioxido_de_azufre,2,1.6416666666666667
2014,11,6,dioxido_de_azufre,7,3.1333333333333333
2013,11,6,dioxido_de_azufre,19,5.7416666666666667
2016,11,6,dioxido_de_azufre,7,2.2750000000000000
2013,11,2,dioxido_de_azufre,22,7.1250000000000000
2015,11,3,dioxido_de_azufre,8,2.2666666666666667
2014,11,0,dioxido_de_azufre,5,2.3666666666666667
2015,11,0,dioxido_de_azufre,4,2.1666666666666667
2014,11,1,dioxido_de_azufre,3,1.6416666666666667
2013,11,1,dioxido_de_azufre,3,2.1916666666666667
2016,11,2,dioxido_de_nitrogeno,62,22.9916666666666667
2016,11,4,dioxido_de_nitrogeno,43,17.5416666666666667
2013,11,1,dioxido_de_nitrogeno,25,11.4000000000000000
2013,11,0,dioxido_de_nitrogeno,24,12.3583333333333333
2013,11,3,dioxido_de_nitrogeno,44,18.3333333333333333
2014,11,0,dioxido_de_nitrogeno,25,10.7166666666666667
2016,11,5,dioxido_de_nitrogeno,31,16.7666666666666667
2015,11,5,dioxido_de_nitrogeno,24,10.7083333333333333
2013,11,6,dioxido_de_nitrogeno,24,12.7833333333333333
