dia_semana,cuarto,parte_dia,contaminante,max,min,avg,stddev
2,3,15,dioxido_de_azufre,80,1,10.6823379923761118,10.1932743054231366
2,3,16,dioxido_de_azufre,80,1,10.6709021601016518,10.1341769825866082
2,3,17,dioxido_de_azufre,80,1,10.7033036848792884,10.1625205118486017
2,3,18,dioxido_de_azufre,80,1,10.7236340533672173,10.1800941601481131
2,3,19,dioxido_de_azufre,80,1,10.7420584498094028,10.1786732071769229
2,3,20,dioxido_de_azufre,80,1,10.7484116899618806,10.2187881209399911
2,3,21,dioxido_de_azufre,80,1,10.7414231257941550,10.2258587744322641
2,3,22,dioxido_de_azufre,62,1,7.3657094594594595,6.3034458906546398
2,3,23,dioxido_de_azufre,64,1,7.3648648648648649,6.3288561046117276
2,4,0,dioxido_de_azufre,78,1,12.0076271186440678,10.6945774848400155
2,4,1,dioxido_de_azufre,69,1,12.0211864406779661,10.5435994653302423
2,4,2,dioxido_de_azufre,65,1,11.9822033898305085,10.3530807890494902
2,4,3,dioxido_de_azufre,66,1,11.9406779661016949,10.2303348856455949
2,4,4,dioxido_de_azufre,68,1,11.9423728813559322,10.1740611058644015
2,4,5,dioxido_de_azufre,71,1,11.9584745762711864,10.2331996930477440
2,4,6,dioxido_de_azufre,76,1,12.0050847457627119,10.3603426662657905
2,4,7,dioxido_de_azufre,77,1,14.4012698412698413,11.2786807204161100
2,4,8,dioxido_de_azufre,79,1,14.4882539682539683,11.4316246047731700
2,4,9,dioxido_de_azufre,83,1,14.5263492063492063,11.5077084961996135
2,4,10,dioxido_de_azufre,86,1,14.6700315457413249,11.6885192122555398
2,4,11,dioxido_de_azufre,88,1,14.5682539682539683,11.6742206871424457
2,4,12,dioxido_de_azufre,88,1,14.6273015873015873,11.8448307940043370
2,4,13,dioxido_de_azufre,87,1,14.5873015873015873,11.9759327169963744
2,4,14,dioxido_de_azufre,98,1,14.5765079365079365,12.0932035580254388
2,4,15,dioxido_de_azufre,90,1,14.5517460317460317,11.9007312060706600
2,4,16,dioxido_de_azufre,95,1,14.5453968253968254,11.8867619908474115
2,4,17,dioxido_de_azufre,100,1,14.5441269841269841,11.9150072256981498
2,4,18,dioxido_de_azufre,103,1,14.5606349206349206,11.9763097201945955
2,4,19,dioxido_de_azufre,109,1,14.5815873015873016,12.0672424059183115
2,4,20,dioxido_de_azufre,113,1,14.6184126984126984,12.1248184998466012
2,4,21,dioxido_de_azufre,116,1,14.6609523809523810,12.1831884859636086
2,4,22,dioxido_de_azufre,86,1,12.2296610169491525,11.0772888820976524
2,4,23,dioxido_de_azufre,87,1,12.2593220338983051,11.0602731254486920
